family_name,task_type,outcome,metric,higher_is_better,handle0,handle1,n_eval_common,alignment_mode,metric0,metric1,delta_raw,delta_better,delta_ci_lo_raw,delta_ci_hi_raw,delta_ci_lo_better,delta_ci_hi_better,p_raw,p_adj
qwen3_primary_binary,classification,icu_admission,roc_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,53978,hospitalization_id,0.5789271746911686,0.7770782419799062,0.1981510672887375,0.1981510672887375,0.1864336897874684,0.2104433448531112,0.1864336897874684,0.2104433448531112,,
qwen3_primary_binary,classification,icu_admission,pr_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,53978,hospitalization_id,0.0578510349820971,0.2641614500776051,0.206310415095508,0.206310415095508,0.1893127028331771,0.2237225177171733,0.1893127028331771,0.2237225177171733,,
qwen3_primary_binary,classification,icu_admission,brier,False,qwen3_deciles_unfused,qwen3_deciles_fused,53978,hospitalization_id,0.0428089858067826,0.0377964619313005,-0.0050125238754821,0.0050125238754821,-0.0056033429211268,-0.0044118141769585,0.0044118141769585,0.0056033429211268,,
qwen3_primary_binary,classification,icu_admission,ece_15,False,qwen3_deciles_unfused,qwen3_deciles_fused,53978,hospitalization_id,0.0104331853023252,0.007265708583498,-0.0031674767188271,0.0031674767188271,-0.0054469674944421,-0.0004158829138333,0.0004158829138333,0.0054469674944421,,
qwen3_primary_binary,classification,imv_event,roc_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,62438,hospitalization_id,0.5611023450174161,0.8958535926839108,0.3347512476664948,0.3347512476664948,0.3219685286888499,0.3469442392901821,0.3219685286888499,0.3469442392901821,,
qwen3_primary_binary,classification,imv_event,pr_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,62438,hospitalization_id,0.0525991126912866,0.5602834359787809,0.5076843232874944,0.5076843232874944,0.4890473422898995,0.5287872958040445,0.4890473422898995,0.5287872958040445,,
qwen3_primary_binary,classification,imv_event,brier,False,qwen3_deciles_unfused,qwen3_deciles_fused,62438,hospitalization_id,0.0428206496892336,0.0266833349818157,-0.0161373147074179,0.0161373147074179,-0.0171672077918523,-0.0151473496694393,0.0151473496694393,0.0171672077918523,,
qwen3_primary_binary,classification,imv_event,ece_15,False,qwen3_deciles_unfused,qwen3_deciles_fused,62438,hospitalization_id,0.0072452958751216,0.0036496150681388,-0.0035956808069828,0.0035956808069828,-0.0057782451026945,-0.0016326175628574,0.0016326175628574,0.0057782451026945,,
qwen3_primary_binary,classification,long_length_of_stay,roc_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.5645654130057287,0.7559754112289446,0.1914099982232159,0.1914099982232159,0.1852561413334356,0.197416256623701,0.1852561413334356,0.197416256623701,,
qwen3_primary_binary,classification,long_length_of_stay,pr_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.2711052860054054,0.46650534042092,0.1954000544155146,0.1954000544155146,0.1873674079347655,0.2034746139136804,0.1873674079347655,0.2034746139136804,,
qwen3_primary_binary,classification,long_length_of_stay,brier,False,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.174290247276955,0.1498212108814134,-0.0244690363955415,0.0244690363955415,-0.0255207751053187,-0.0233059240478006,0.0233059240478006,0.0255207751053187,,
qwen3_primary_binary,classification,long_length_of_stay,ece_15,False,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.0152484933217132,0.0114687388247869,-0.0037797544969262,0.0037797544969262,-0.0067656575485417,0.0002764140474047,-0.0002764140474047,0.0067656575485417,,
qwen3_primary_binary,classification,same_admission_death,roc_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.5964113670260969,0.8775462072465348,0.2811348402204379,0.2811348402204379,0.2653692756854788,0.2966894179203658,0.2653692756854788,0.2966894179203658,,
qwen3_primary_binary,classification,same_admission_death,pr_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.0353677591894571,0.2478419728882885,0.2124742136988314,0.2124742136988314,0.1913049603801923,0.2362431664862016,0.1913049603801923,0.2362431664862016,,
qwen3_primary_binary,classification,same_admission_death,brier,False,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.0229517342165275,0.0200162397560912,-0.0029354944604363,0.0029354944604363,-0.0033814105817858,-0.0025081647105489,0.0025081647105489,0.0033814105817858,,
qwen3_primary_binary,classification,same_admission_death,ece_15,False,qwen3_deciles_unfused,qwen3_deciles_fused,63750,hospitalization_id,0.0022233087977408,0.0021949746237076,-2.833417403316687e-05,2.833417403316687e-05,-0.0017269882704009,0.0010318489715048,-0.0010318489715048,0.0017269882704009,,
qwen3_additional_binary,classification,crrt_initiation,roc_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,63669,hospitalization_id,0.5325708341763725,0.7512441698372334,0.2186733356608609,0.2186733356608609,0.1758749765325224,0.261881390806644,0.1758749765325224,0.261881390806644,,
qwen3_additional_binary,classification,crrt_initiation,pr_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,63669,hospitalization_id,0.0043534690930076,0.0170908558428397,0.0127373867498321,0.0127373867498321,0.0092621436160757,0.0184632931191553,0.0092621436160757,0.0184632931191553,,
qwen3_additional_binary,classification,crrt_initiation,brier,False,qwen3_deciles_unfused,qwen3_deciles_fused,63669,hospitalization_id,0.0041258989917819,0.0041324355569496,6.536565167669303e-06,-6.536565167669303e-06,-2.2126860621843543e-05,3.292060873779205e-05,-3.292060873779205e-05,2.2126860621843543e-05,,
qwen3_additional_binary,classification,crrt_initiation,ece_15,False,qwen3_deciles_unfused,qwen3_deciles_fused,63669,hospitalization_id,0.002305926648003,0.0016790235876474,-0.0006269030603555,0.0006269030603555,-0.0012605728340332,0.0001278323431083,-0.0001278323431083,0.0012605728340332,,
qwen3_additional_binary,classification,hemodialysis_initiation,roc_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,63617,hospitalization_id,0.4652805266108213,0.675401804763184,0.2101212781523627,0.2101212781523627,0.1650975695791008,0.2524399886965982,0.1650975695791008,0.2524399886965982,,
qwen3_additional_binary,classification,hemodialysis_initiation,pr_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,63617,hospitalization_id,0.0047702766211872,0.0184494785131065,0.0136792018919193,0.0136792018919193,0.0097038862517888,0.0223198257679359,0.0097038862517888,0.0223198257679359,,
qwen3_additional_binary,classification,hemodialysis_initiation,brier,False,qwen3_deciles_unfused,qwen3_deciles_fused,63617,hospitalization_id,0.0053377773809318,0.0053220616844602,-1.571569647156653e-05,1.571569647156653e-05,-5.035711595713921e-05,1.386239025488192e-05,-1.386239025488192e-05,5.035711595713921e-05,,
qwen3_additional_binary,classification,hemodialysis_initiation,ece_15,False,qwen3_deciles_unfused,qwen3_deciles_fused,63617,hospitalization_id,0.0034998116422095,0.0021894082701226,-0.0013104033720869,0.0013104033720869,-0.0021086693981242,-0.0005330415157257,0.0005330415157257,0.0021086693981242,,
qwen3_additional_binary,classification,hyperkalemia,roc_auc,True,qwen3_deciles_unfused,qwen3_deciles_fused,47454,hospitalization_id,0.5373894263153587,0.5900799735914862,0.0526905472761275,0.0526905472761275,0.0192388565074011,0.0839274630759333,0.0192388565074011,0.0839274630759333,,
